"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","96/3909","297/18986",0.323232323232323,1.56993831897899,5.04073328058408,1.22087844775644e-06,0.00014015684580244,0.000121059736609113,"ABHD17A/AKT1/ALPK1/AP3B1/BANF1/BIRC3/CACTIN/CARD8/CD274/CHUK/CLEC7A/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/ECSIT/EPG5/F2RL1/FCRL3/FLOT1/GBP5/GDI1/GFI1/GPATCH3/GPS2/GRAMD4/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/KLRC3/KLRK1/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/NAIP/NFKBIL1/NFKBIZ/NOP53/NR1D1/OAS3/OASL/OGT/PELI1/PIK3AP1/PRKCE/PRKDC/PTPRS/PYCARD/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/SYK/TAB1/TAX1BP1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/UBQLN1/UNC93B1/USP15/USP50/WASHC4/ZCCHC3/ZDHHC12",96
"GO:0034243","GO:0034243","regulation of transcription elongation by RNA polymerase II","38/3909","88/18986",0.431818181818182,2.097339473011,5.25357678299138,1.32603754421275e-06,0.000148859159915421,0.000128576314542753,"AXIN1/BRD4/BTBD18/CCNT2/CDK9/EAF2/ELL2/ELL3/EZH2/GTF2F1/HEXIM1/INTS1/INTS10/INTS11/INTS13/INTS3/INTS5/INTS7/INTS9/MED14/MED16/MED22/MED23/MED25/MED29/MED31/MED6/NCBP1/NELFA/NELFB/NELFCD/NELFE/PWWP2B/RNF168/SHH/SUPT5H/SUPT6H/TCERG1",38
"GO:0006368","GO:0006368","transcription elongation by RNA polymerase II","47/3909","118/18986",0.398305084745763,1.93456647198338,5.18524086253988,1.34733035141441e-06,0.000148859159915421,0.000128576314542753,"ADRM1/AXIN1/BRD4/BTBD18/CCNT2/CDK9/CTDP1/EAF2/ELL2/ELL3/ELOA2/ELOB/ELP4/EZH2/GTF2F1/HEXIM1/INTS1/INTS10/INTS11/INTS13/INTS3/INTS5/INTS7/INTS9/MED14/MED16/MED22/MED23/MED25/MED29/MED31/MED6/NCBP1/NELFA/NELFB/NELFCD/NELFE/PAF1/PWWP2B/RNF168/SHH/SUPT5H/SUPT6H/TCEA2/TCEA3/TCERG1/USP15",47
"GO:0002218","GO:0002218","activation of innate immune response","101/3909","317/18986",0.318611987381703,1.54749736311819,5.00531948869204,1.36741071826013e-06,0.000148859159915421,0.000128576314542753,"ABHD17A/AKT1/ALPK1/AP3B1/BANF1/BIRC3/CACTIN/CARD8/CD274/CHUK/CLEC7A/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/ECSIT/EPG5/F2RL1/FCRL3/FLOT1/GBP5/GDI1/GFI1/GPATCH3/GPS2/GRAMD4/HEXIM1/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/KLRC3/KLRK1/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/MNDA/NAIP/NFKBIL1/NFKBIZ/NOP53/NR1D1/OAS3/OASL/OGT/PELI1/PIK3AP1/PRKCE/PRKDC/PTPRS/PYCARD/PYHIN1/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/SYK/TAB1/TAX1BP1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/UBQLN1/UNC93B1/USP15/USP50/WASHC4/XRCC5/ZBP1/ZCCHC3/ZDHHC12",101
"GO:0045058","GO:0045058","T cell selection","30/3909","63/18986",0.476190476190476,2.31285555921013,5.31462830364332,1.4349753284133e-06,0.000152258747766018,0.000131512690624967,"ATG5/BCL11B/BCL2/BRD2/BRD4/CCR7/CD28/CD3D/CD69/CTSL/CYLD/DOCK2/GATA3/IL15/IRF4/JAG2/LGALS1/MTOR/PTPN2/PTPRC/SHH/SLAMF6/SRF/STK11/SYK/TBX21/THEMIS/TOX/ZAP70/ZFPM1",30
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","70/3909","200/18986",0.35,1.69994883601944,5.06692881590002,1.4468680497246e-06,0.000152258747766018,0.000131512690624967,"ABCA3/AJUBA/AKAP9/ANKRD53/ARL2/ATM/ATR/BAIAP2/BAX/BBC3/BCL2L11/BIN1/CAND1/CCR7/CDC42EP1/CDC42EP2/CDC42EP3/CDC42EP4/CDC42EP5/CLEC7A/CLU/CRACD/CRBN/CXCL13/DAB2IP/DCTN1/FES/FNIP1/FSCN1/GBP5/GIT1/HSPA1A/HSPA1B/ICE1/IFNG/LCP1/MAPK8/MED25/MMP1/MMP3/MTLN/MTOR/NCK1/NCKAP1L/NR1H2/NUMA1/PIEZO1/PINK1/PLEK/PPP2R5B/PRKCE/PTK2B/PYCARD/RASIP1/RHOC/RICTOR/SKAP1/SLF1/SYK/TFRC/TGFB1/TLR4/TLR6/TOGARAM1/TPPP/TPPP3/TRIM65/USP50/VEGFA/WARS1",70
"GO:0043087","GO:0043087","regulation of GTPase activity","68/3909","193/18986",0.352331606217617,1.71127343966428,5.05705710484077,1.5515074009681e-06,0.000160593733273977,0.000138711990412696,"ABR/ADAP1/ADCYAP1/AGRN/APC2/ARAP2/ARFGEF1/ARHGEF7/ARL2/ASAP1/CORO1C/CXCL13/DAB2IP/DENND1B/DOCK10/DOCK11/DOCK8/DOCK9/DVL2/DVL3/ECT2/EVI5L/EZH2/F2RL1/FGD1/FGD6/FICD/GPR137B/GPR65/GPSM1/HRAS/ITGA6/KLRK1/LRRK2/MTSS2/NET1/PIN1/PLXNB2/PLXNB3/PROM2/RABGAP1/RALBP1/RALGAPA1/RALGAPA2/RALGAPB/RANGAP1/RAP1GDS1/RAPGEF3/RAPGEF6/RASA4/RASGRP1/RASIP1/RGP1/RGS1/RGS8/RIC1/RIPOR1/RIPOR2/SCRIB/SEMA4D/SNX13/STMN1/STMN3/SYDE1/TAX1BP3/TBC1D10B/TGM2/TSC2",68
"GO:0043123","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","76/3909","223/18986",0.340807174887892,1.65529931502213,5.01212247506076,1.69220803217654e-06,0.000170159378089049,0.000146974265688506,"AJUBA/ALPK1/ATP2C1/BIRC3/BRD4/CARD10/CARD16/CARD9/CASP10/CASP8/CC2D1A/CCR7/CHUK/CLEC4D/CLEC7A/CUL1/CX3CL1/CXXC5/DAB2IP/DHX15/ECT2/EDA/EDN1/F2RL1/FASLG/FLOT1/GPR89A/HLA-DRB1/IL1B/ILK/IRAK1/IRAK3/IRAK4/IRF3/LGALS1/LTBR/LURAP1/MALT1/MAP3K7/MIB2/NUP62/PELI1/PIM2/PINK1/PLEKHG5/PLK2/PRKCB/PRKCE/PYCARD/RBCK1/RELA/RHOC/RIPK2/RNF31/S100A13/S100A4/SHARPIN/SLC20A1/TFRC/TGFB1/TIFA/TLR4/TLR6/TLR8/TNFSF10/TNFSF15/TRADD/TRAF2/TRAF5/TRIM13/TRIM22/TRIM68/UBD/VEGFA/ZDHHC13/ZDHHC17",76
"GO:0042100","GO:0042100","B cell proliferation","39/3909","92/18986",0.423913043478261,2.0589442423838,5.18424741845993,1.69782084567787e-06,0.000170159378089049,0.000146974265688506,"ATAD5/ATM/BAX/BCL2/CASP3/CD180/CD19/CD320/CD38/CD70/CD79A/CR2/CTLA4/FCRL3/FOSL2/GPR183/IGHE/IKZF3/IL7/IL7R/LEF1/LYN/MEF2C/MNDA/MZB1/NCKAP1L/NFATC2/NFKBIZ/PELI1/PKN1/PLCL2/PTPRC/RASGRP1/RC3H1/SHB/TCF3/TFRC/TLR4/TNFSF13B",39
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","47/3909","119/18986",0.394957983193277,1.91830961087428,5.11672238209302,1.78575300910874e-06,0.000176175695304884,0.000152170827963691,"ACTN4/ADAM17/BIRC3/CARD16/CARD8/CASP4/CASP8/CD70/CHUK/CYLD/DICER1/EIF5A/EXT1/F2RL1/GPS2/GSTP1/HSPA1A/HSPA1B/ILK/JAK2/KRT18/LAPTM5/MAPKAPK2/MIB2/NAIP/NOL3/PELI3/PIAS4/PLVAP/PTK2B/PTPN2/PYCARD/RELA/SHARPIN/SPPL2B/STAT1/SYK/TANK/TIFA/TNFRSF17/TNFRSF25/TNFSF13B/TRADD/TRAF2/TRAF3/TRAF5/ULK1",47
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","51/3909","133/18986",0.383458646616541,1.86245737136394,5.08222506412806,1.87774791350044e-06,0.000182401543474489,0.000157548371495479,"AP3B1/AP3D1/ARMC5/BCL11B/BCL2/BRD2/BRD4/CD69/CD83/CD86/CTSL/ENTPD7/FOSL2/GATA3/GPR183/HLA-DRA/HLA-DRB1/HLX/IFNG/IL2RG/IRF1/IRF4/ITK/JUNB/LEF1/LGALS1/MALT1/MTOR/NCKAP1L/NFKBIZ/PRDM1/RARA/RC3H1/RIPK2/RUNX1/RUNX3/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/STAT4/SYK/TBX21/TGFBR2/TNFSF4/TOX/ZAP70/ZBTB7B/ZFPM1",51
"GO:0034620","GO:0034620","cellular response to unfolded protein","41/3909","99/18986",0.414141414141414,2.01148347119184,5.13778073526661,1.92522655997259e-06,0.000184180007570711,0.000159084510481946,"ABCA7/ATF3/ATF6/ATF6B/BAG3/BAX/BBC3/BCL2L11/BHLHA15/BOK/CCND1/DAB2IP/DAXX/DDIT3/DDRGK1/DERL1/DERL3/DNAJB9/EDEM1/EDEM3/EIF2AK3/ERLEC1/ERO1A/FICD/HERPUD1/HSF1/HSPA1A/MBTPS2/NCK1/PARP8/PPP1R15A/PTPN1/PTPN2/RHBDD1/SELENOS/TMBIM4/TMBIM6/TMEM33/TMTC4/UFL1/XBP1",41
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","35/3909","80/18986",0.4375,2.1249360450243,5.13397403439057,2.37939569766531e-06,0.000222497648074298,0.000192181170443782,"AP3B1/AP3D1/BRD2/BRD4/CD69/CD83/CD86/GATA3/HLA-DRA/HLA-DRB1/HLX/IFNG/IL2RG/IRF4/JUNB/LGALS1/MALT1/NCKAP1L/NFKBIZ/PRDM1/RARA/RC3H1/RIPK2/RUNX1/RUNX3/SHB/SHH/SLC4A2/SMAD7/SYK/TBX21/TGFBR2/TNFSF4/ZAP70/ZBTB7B",35
"GO:0043122","GO:0043122","regulation of canonical NF-kappaB signal transduction","97/3909","305/18986",0.318032786885246,1.54468418823312,4.88287150986609,2.39623694473428e-06,0.000222497648074298,0.000192181170443782,"AJUBA/ALPK1/ATP2C1/BIRC3/BRD4/CACTIN/CARD10/CARD16/CARD8/CARD9/CASP10/CASP8/CC2D1A/CCR7/CHUK/CLEC4D/CLEC7A/CUL1/CX3CL1/CXXC5/DAB2IP/DHX15/ECT2/EDA/EDN1/F2RL1/FASLG/FLOT1/GPR89A/GSTP1/HLA-DRB1/HSPB1/IL1B/ILK/IRAK1/IRAK3/IRAK4/IRF3/LGALS1/LTBR/LURAP1/MALT1/MAP3K7/MAPKBP1/MIB2/NFKBIB/NFKBIL1/NR1D1/NUP62/OTUD7B/PELI1/PIDD1/PIM2/PINK1/PLEKHG5/PLK2/PPM1N/PRKCB/PRKCE/PYCARD/RBCK1/RELA/RHOC/RHOH/RIOK3/RIPK2/RNF31/S100A13/S100A4/SHARPIN/SLC20A1/SLC39A8/SPHK2/STAT1/TANK/TFRC/TGFB1/TIFA/TLR4/TLR6/TLR8/TNFSF10/TNFSF15/TRADD/TRAF2/TRAF3/TRAF5/TRIM13/TRIM22/TRIM68/UBD/UFL1/VEGFA/WDR83/ZDHHC13/ZDHHC17/ZFAND6",97
"GO:0051767","GO:0051767","nitric-oxide synthase biosynthetic process","14/3909","20/18986",0.7,3.39989767203888,5.46764762515347,2.6213044881626e-06,0.000236441664832266,0.000204225241401059,"AKAP12/CCL2/EDN1/FCER2/GSTP1/IFNG/JAK2/LRRK2/MAP2K4/NAMPT/SELENOS/STAT1/TLR2/TLR4",14
"GO:0051769","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","14/3909","20/18986",0.7,3.39989767203888,5.46764762515347,2.6213044881626e-06,0.000236441664832266,0.000204225241401059,"AKAP12/CCL2/EDN1/FCER2/GSTP1/IFNG/JAK2/LRRK2/MAP2K4/NAMPT/SELENOS/STAT1/TLR2/TLR4",14
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","81/3909","245/18986",0.330612244897959,1.60578257396589,4.85941630527038,3.05230932694536e-06,0.000271440578737085,0.000234455368760621,"ARG1/ATAD5/ATM/BCL2/BMP4/CASP3/CCDC88B/CCR2/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD86/CR1/CSF1/CTLA4/DHPS/DLG5/EFNB1/ERBB2/FCGR3A/FCRL3/GLMN/GPR183/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IKZF3/IL15/IL1B/IL2RA/IL7/IRF1/JAK2/LST1/LYN/MAD1L1/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/PDCD1LG2/PELI1/PKN1/PRKCQ/PTPRC/PYCARD/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHH/SLAMF1/SLC4A2/SOS2/SOX11/ST6GAL1/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B",81
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","37/3909","88/18986",0.420454545454545,2.0421463289844,4.98933638412662,3.92005453880973e-06,0.000343767004972842,0.000296926938093176,"ABCA7/ALOX5/ATF6/ATF6B/BAG6/BAX/BBC3/BCL2L11/BOK/CLU/DAB2IP/DDRGK1/DNAJB9/EIF2AK3/FICD/HERPUD1/HSPA1A/LRRK2/MBTPS2/NCK1/NR1H2/NUPR1/PPP1R15A/PTPN1/PTPN2/SELENOS/SGTA/TMBIM6/TMEM259/TMEM33/TMX1/UBQLN1/UBXN1/UFL1/USP19/USP25/XBP1",37
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","124/3909","416/18986",0.298076923076923,1.44775862408249,4.7018128800395,4.3643131830548e-06,0.000376007660927832,0.000324774634691012,"ABHD17A/AKT1/ALPK1/AP1G1/AP3B1/ARG1/BANF1/BIRC3/CACTIN/CARD8/CARD9/CD180/CD226/CD274/CHUK/CLEC7A/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/DHX9/ECSIT/EMILIN1/EPG5/F2RL1/FBXO38/FCRL3/FLOT1/FPR2/GBP5/GDI1/GFI1/GPATCH3/GPS2/GRAMD4/GRN/HEXIM1/HLA-DRB1/HLA-F/HRG/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IL18RAP/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/KLRC3/KLRK1/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/MNDA/NAIP/NFKBIL1/NFKBIZ/NLRC5/NOP53/NR1D1/OAS3/OASL/OGT/PELI1/PIK3AP1/PLSCR1/PRKCE/PRKDC/PTPRS/PYCARD/PYHIN1/RASGRP1/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SIGLEC16/SLAMF6/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/SYK/TAB1/TAX1BP1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/TRIM41/TRIM56/TXK/UBQLN1/UNC93B1/USP15/USP27X/USP50/WASHC4/XRCC5/ZBP1/ZCCHC3/ZDHHC12",124
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","116/3909","384/18986",0.302083333333333,1.46721774537392,4.7096191643626,4.40680502196065e-06,0.000376007660927832,0.000324774634691012,"ABHD17A/ACTN4/AKT1/ALDH1A2/ALPK1/BANF1/BIRC3/BMP2/CARD8/CNOT1/CNOT2/CSNK1A1/CYLD/CYP7B1/DAXX/DDRGK1/DDX5/DDX54/DDX60/DHRS3/EGLN2/EPG5/ESRRA/EZH2/F2RL1/FCRL3/FLOT1/FOXA1/GBP5/GPATCH3/GPER1/GPS2/GRAMD4/HEYL/HSPA1A/HSPA1B/IFI16/IFIH1/IRAK1/IRAK4/IRF3/IRF7/JAK2/KANK2/KDM4C/MAP3K7/MAPK8/MN1/NCOA1/NCOA2/NCOA3/NCOR2/NEDD4/NOP53/NR1D1/NR1H2/NR2C1/NR2F1/NR2F6/NR4A1/NR5A2/OAS3/OASL/OGT/PAGR1/PELI1/PIK3AP1/PIM1/PKN1/PLPP1/PML/PPARD/PRKDC/PTPRS/PYCARD/RARA/RARG/RELA/RFTN1/RIOK3/RIPK2/RNF135/RNF6/RXRB/SAFB/SKP2/SLC15A2/SLC15A3/SLC15A4/SMARCA4/SMPDL3A/SPSB3/TAB1/TAX1BP1/TCF21/THRA/TIFA/TLR4/TLR6/TLR8/TRAF3IP3/TRIM11/TRIM24/TRIM68/UBE3A/UBQLN1/UBR5/UFL1/UNC93B1/USP15/USP50/WASHC4/WBP2/ZBTB7A/ZCCHC3/ZDHHC12",116
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","74/3909","221/18986",0.334841628959276,1.62632467828621,4.76872243592105,4.78135177251934e-06,0.000401841354259434,0.0003470883511025,"ACTN4/ADAM17/ADAMTS13/ADAMTS7/AKAP12/AKT1/BIRC3/CACTIN/CARD16/CARD8/CASP4/CASP8/CCL2/CD58/CD70/CHI3L1/CHUK/CXCL8/CYLD/DAB2IP/DHX9/DICER1/EDN1/EIF5A/EXT1/F2RL1/GATA3/GBP1/GFER/GPER1/GPS2/GSTP1/HES1/HSPA1A/HSPA1B/HYAL1/ILK/JAK2/KAT2A/KRT18/LAPTM5/MAP3K5/MAP3K7/MAPK14/MAPK3/MAPKAPK2/MIB2/NAIP/NFKB1/NOL3/NR1D1/PELI3/PIAS4/PLVAP/PTK2B/PTPN2/PYCARD/RELA/SHARPIN/SLC2A4/SPPL2B/STAT1/SYK/TANK/TIFA/TNFRSF17/TNFRSF25/TNFSF13B/TRADD/TRAF2/TRAF3/TRAF5/ULK1/ZFAND6",74
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","79/3909","240/18986",0.329166666666667,1.598761405304,4.75319664666615,4.83686140698716e-06,0.000401841354259434,0.0003470883511025,"ARG1/ATAD5/ATM/BCL2/BMP4/CASP3/CCDC88B/CCR2/CD274/CD28/CD320/CD38/CD46/CD55/CD6/CD70/CD86/CR1/CTLA4/DHPS/DLG5/EFNB1/ERBB2/FCGR3A/FCRL3/GLMN/GPR183/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IKZF3/IL15/IL1B/IL2RA/IL7/IRF1/JAK2/LST1/LYN/MAD1L1/MARCHF7/MEF2C/MNDA/MPL/MZB1/NCK1/NCKAP1L/NFATC2/PDCD1LG2/PELI1/PKN1/PRKCQ/PTPRC/PYCARD/RASSF5/RC3H1/RIPK2/RIPOR2/SCRIB/SHH/SLAMF1/SLC4A2/SOS2/SOX11/SYK/TCF3/TFRC/TGFB1/TGFBR2/TLR4/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B",79
"GO:0010506","GO:0010506","regulation of autophagy","113/3909","373/18986",0.302949061662198,1.4714225849881,4.6820632976519,5.03311877413342e-06,0.00041271573947894,0.000356481044002532,"AKT1/ATF6/ATG16L1/ATG2A/ATG5/ATM/ATP5IF1/ATP6V0C/ATP6V0E1/ATP6V1A/ATP6V1B2/BAD/BAG3/BCL2/BNIP3L/BOK/C9orf72/CAPN1/CAPNS1/CASP3/CDC37/CDK16/DAPK3/DCAF12/DDIT3/DDRGK1/DRAM1/DRAM2/EHMT2/ENDOG/ERCC4/EXOC1/EXOC4/FBXO7/FBXW7/FKBP8/FLCN/FOXK1/FYCO1/FZD5/GATA4/GFAP/GPR137/GPR137B/GPSM1/HERC1/HIF1A/HSPB1/IFI16/IFNG/IL10RA/ITPR1/KAT8/KEAP1/LRRK2/LRSAM1/LYPLA1/LZTS1/MAP3K7/MAPK15/MAPK3/MAPK8/MTCL1/MTMR4/MTMR9/MTOR/NEDD4/NPC1/NRBP2/NUPR1/PHF23/PIK3R2/PIK3R4/PIM2/PINK1/PIP4K2A/PIP4K2C/PLEKHF1/PLK2/PYCARD/RAB39B/RASIP1/RB1CC1/RIPK2/RNF31/RNF41/SCFD1/SLC7A5/SNRNP70/SNX5/SPTLC1/STK11/SUPT5H/TBC1D14/TBC1D25/TP53INP1/TRIM13/TRIM22/TRIM65/TRIM68/TSC2/UBQLN1/UBQLN4/UBR4/UFL1/ULK1/USP36/UVRAG/VPS13C/VPS13D/WDR41/WDR6/XBP1",113
"GO:0033077","GO:0033077","T cell differentiation in thymus","37/3909","89/18986",0.415730337078652,2.01920086461378,4.90725949203674,5.38762424129157e-06,0.000435699615550996,0.000376333245781256,"ADAM17/ATG5/B2M/BCL11B/BCL2/BMP4/CAMK4/CCR6/CCR7/CD28/CD3D/DOCK2/EGR3/ERBB2/FZD5/FZD7/FZD8/GATA3/IL1B/IL2RG/IL7R/JAG2/NCAPH2/PRKDC/PTPN2/PTPRC/RASGRP1/RIPK2/SHH/SOS2/SRF/STK11/TMEM131L/TOX/VNN1/ZAP70/ZEB1",37
"GO:0007254","GO:0007254","JNK cascade","62/3909","177/18986",0.350282485875706,1.7013208689783,4.77310744596318,5.45142059368525e-06,0.000435699615550996,0.000376333245781256,"AXIN1/CARD9/CASR/CCDC88C/CCR7/CDC42EP5/CYLD/DAB2IP/DAXX/DUSP19/DVL2/DVL3/EDN1/F2RL1/FKTN/FZD7/GADD45G/GPS1/GPS2/GSTP1/HDAC3/HRAS/IL1B/IRAK1/IRAK4/LRRK2/LTBR/MAP1LC3A/MAP2K4/MAP2K7/MAP3K10/MAP3K11/MAP3K12/MAP3K5/MAP3K6/MAP3K7/MAP4K3/MAPK8/MAPK8IP2/MAPK8IP3/MAPKBP1/MARVELD3/MDFIC2/MECOM/MFHAS1/MINK1/NAIP/NFKB1/PINK1/PTK2B/PYCARD/RASSF2/RB1CC1/RIPK2/RNF13/SLAMF1/TAOK2/TLR4/TRAF2/TRIB1/ULK4/WNT16",62
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","101/3909","327/18986",0.308868501529052,1.50017328473538,4.64548277386859,6.30913738507617e-06,0.000497948668117137,0.00043010053673789,"AKT1/ATAD5/ATM/BAD/BAG6/BAX/BBC3/BCL2/BCL2A1/BCL2L11/BCL2L2/BCLAF1/BDKRB2/BOK/BRCA2/BRSK2/CARD8/CASP3/CASP4/CDIP1/CLU/CRIP1/CUL1/CUL3/CYLD/DAB2IP/DAXX/DDIT3/DDIT4/DDX5/EIF2AK3/EIF5A/ELL3/ERO1A/FBH1/FBXO7/FBXW7/FIS1/FLCN/GATA4/GPX1/HERPUD1/HIC1/HIF1A/HRAS/HSPA1A/HSPB1/IER3/IFI16/ITPR1/IVNS1ABP/JAK2/LRRK2/MAP2K4/MAP3K5/MAPK7/MARCHF7/MELK/MMP2/MMP9/MSX1/MUC1/NACC2/NBN/NCK1/NFATC4/NOL3/NUPR1/PDCD10/PDK1/PHLDA3/PIAS4/PINK1/PLEKHF1/PML/PPP1R15A/PRKDC/PTGS2/PTPN1/PTPN2/PYCARD/PYCR1/RRM2B/S100A9/SELENOS/SIVA1/SOD2/STK11/STK25/TAF6/TMBIM6/TMEM109/TMEM161A/TP73/TRAF2/UBQLN1/USP15/USP28/VNN1/XBP1/ZNF385A",101
"GO:0045089","GO:0045089","positive regulation of innate immune response","116/3909","387/18986",0.299741602067183,1.45584396440203,4.61325607942857,6.59591480861354e-06,0.000514155630883776,0.000444099215379165,"ABHD17A/AKT1/ALPK1/AP1G1/AP3B1/BANF1/BIRC3/CACTIN/CARD8/CARD9/CD226/CD274/CHUK/CLEC7A/CSNK1A1/CTSS/CYLD/DAB2IP/DDX60/DHX9/ECSIT/EPG5/F2RL1/FCRL3/FLOT1/FPR2/GBP5/GDI1/GFI1/GPATCH3/GPS2/GRAMD4/HEXIM1/HLA-F/HSPA1A/HSPA1B/IFI16/IFI35/IFIH1/IL18RAP/IRAK1/IRAK3/IRAK4/IRF1/IRF3/IRF4/IRF7/KLRC3/KLRK1/LBP/LRCH4/LY96/LYN/MAP3K7/MAPK8/MAPKAPK2/MFHAS1/MNDA/NAIP/NFKBIL1/NFKBIZ/NLRC5/NOP53/NR1D1/OAS3/OASL/OGT/PELI1/PIK3AP1/PLSCR1/PRKCE/PRKDC/PTPRS/PYCARD/PYHIN1/RASGRP1/RELA/RFTN1/RIOK3/RIPK2/RNF135/S100A9/SLAMF6/SLC15A2/SLC15A3/SLC15A4/SMPDL3A/SPSB3/SYK/TAB1/TAX1BP1/TIFA/TLR1/TLR10/TLR2/TLR4/TLR5/TLR6/TLR8/TRAF3/TRAF3IP3/TRIL/TRIM11/TRIM41/TRIM56/TXK/UBQLN1/UNC93B1/USP15/USP27X/USP50/WASHC4/XRCC5/ZBP1/ZCCHC3/ZDHHC12",116
"GO:0016236","GO:0016236","macroautophagy","112/3909","372/18986",0.301075268817204,1.46232157937156,4.58539178712409,7.56379308802634e-06,0.000582412067778028,0.000503055352876309,"AKT1/AP5Z1/ARL8B/ATG16L1/ATG2A/ATG2B/ATG5/ATG7/ATM/ATP5IF1/ATP6V0C/ATP6V0E1/ATP6V1A/ATP6V1B2/BAG3/BNIP3L/C9orf72/CAPN1/CAPNS1/CASP3/CDC37/CHMP1A/CHMP2A/CHMP4A/CHMP4C/DDRGK1/EFNB1/EHMT2/EPG5/EXOC1/EXOC4/FBXO7/FBXW7/FKBP8/FYCO1/FZD5/GAA/GABARAP/GPSM1/HDAC10/HGS/HIF1A/KLHL3/LIX1L/LRBA/LRRK2/LRSAM1/LYPLA1/LZTS1/MAP1LC3A/MAP3K7/MAPK3/MAPK8/MTOR/MVB12A/NEDD4/NIPSNAP1/NIPSNAP3A/NPC1/NRBP2/NUPR1/OGT/PACS2/PDCD6IP/PEX5/PHF23/PIK3R4/PIKFYVE/PIM2/PINK1/PIP4K2A/PIP4K2C/PLAA/RAB19/RAB1B/RB1CC1/RIPK2/RNF213/RNF31/RNF41/SCFD1/SNX14/SNX5/SPG11/SPTLC1/STAM2/STBD1/STX17/SUPT5H/TAFAZZIN/TBC1D14/TBC1D25/TMEM74/TP53INP1/TP53INP2/TRIM13/TSC2/UBQLN1/UBQLN4/UBXN6/UFC1/UFL1/ULK1/USP36/UVRAG/VAMP8/VMP1/VPS13C/VPS13D/VPS28/VTI1A/WDR81",112
